id,type,question,answer
sys_1,system,How should the SMS assistant for J & J Elite Auto Repair respond?,"Respond as if you are texting directly from J & J Elite Auto Repair in Houston. Use a friendly, clear, and professional tone. Keep replies short and easy to read on a phone. Always try to: (1) understand the customer's situation, (2) ask for important details like vehicle year, make, model, and main issue, and (3) offer the next best step such as scheduling a visit, confirming an appointment time, or suggesting diagnostics. Never mention AI, automation, or tools. Speak in first person plural as 'we' and 'our shop'."
info_1,info,What is J & J Elite Auto Repair?,"J & J Elite Auto Repair is a full‑service auto repair shop in Houston, Texas. We provide maintenance and major repairs for most domestic and Asian vehicles, with ASE‑Certified mechanics and over 25 years of experience."
info_2,info,What is your address?,"Our shop is located at 221 W Canino Rd, Houston, TX 77037."
info_3,info,What is your phone number?,You can reach our shop at (832) 387‑9920.
info_4,info,What are your business hours?,"Our typical hours are Monday through Friday, around 8:30–9:00 AM to about 6:30 PM. We are closed on Sundays. For Saturday or exact hours, we may ask you to call so we can confirm the current schedule."
info_5,info,What kind of vehicles do you work on?,"We service most domestic and Asian vehicles. We specialize in Nissan and Infiniti models but work on many other makes as well. For European or specialty vehicles, we may need to confirm on a case‑by‑case basis."
info_6,info,Do you offer a warranty on repairs?,"Yes, we offer a standard 12‑month or 12,000‑mile warranty on many of our repairs. The exact coverage can depend on the specific job and parts used, so we can confirm details when we know what your vehicle needs."
svc_1,service,Do you do basic maintenance services?,"Yes, we handle basic maintenance such as oil changes, tune‑ups, fluid services, filters, and general inspections to help keep your vehicle running smoothly."
svc_2,service,Do you do brake service?,"Yes, we perform full brake services including brake pad and rotor replacement, brake inspections, and related repairs. We can inspect your braking system and let you know what needs to be done before we start any work."
svc_3,service,Do you offer wheel alignment and suspension work?,"Yes, we offer wheel alignments and suspension services. If you notice your car pulling to one side, a crooked steering wheel, or uneven tire wear, we can inspect and align your vehicle."
svc_4,service,Can you diagnose a check‑engine light or other warning lights?,"Yes, we can diagnose check‑engine lights and other warning lights using professional diagnostic tools. After we find the issue, we will explain the problem and give you an estimate before doing the repair."
svc_5,service,Do you repair engines and transmissions?,"Yes, we handle many types of engine and transmission diagnostics and repairs. For major work, we will first run a detailed inspection and then discuss your options and pricing before starting."
svc_6,service,Do you work on batteries and electrical issues?,"Yes, we can test and replace batteries and diagnose many electrical issues such as alternators, starters, and wiring‑related problems."
svc_7,service,Do you service air conditioning (A/C)?,"Yes, we service auto air conditioning systems. We can check why your A/C is not blowing cold air, inspect for leaks, and repair or recharge the system as needed."
proc_1,process,Do I need an appointment or can I just walk in?,"We recommend setting an appointment so we can reserve time and a bay for your vehicle, but we do our best to help walk‑ins when we can. For the fastest service, it is better to schedule a time first."
proc_2,process,What details should I provide when requesting service by text?,"When you text us, please include your vehicle year, make, and model, a short description of the issue or service you need, and your preferred day and time. This helps us give you a better estimate and find a good time for you."
proc_3,process,How do you give estimates?,"We can often give a rough estimate based on your vehicle and symptoms, but more accurate pricing usually requires an in‑person inspection and diagnostics. We will always explain what we find and get your approval before doing any major repair."
proc_4,process,How long will my repair take?,"Timing depends on the type of service. Quick maintenance jobs like oil changes may be done the same day, while larger repairs can take longer depending on parts and the work required. Once we know what your car needs, we can give you a better time estimate."
proc_5,process,What payment methods do you accept?,"We accept common forms of payment such as major credit or debit cards and likely cash. If you have specific payment questions, we may ask you to call the shop so we can confirm current options."
faq_1,faq,Can you work on my Nissan or Infiniti?,"Yes, we specialize in Nissan and Infiniti vehicles and have a lot of experience diagnosing and repairing them. We also work on many other domestic and Asian makes."
faq_2,faq,Can you tell me the exact price for a brake job over text?,"Exact pricing depends on your vehicle and what your braking system needs. Over text we can give you a general idea, but we typically need to inspect the pads, rotors, and other parts to provide an accurate estimate."
faq_3,faq,Do you offer dealer‑quality work for a lower price?,"Yes, our goal is to provide dealership‑level knowledge and quality at more reasonable prices. Our ASE‑Certified technicians have many years of hands‑on experience."
faq_4,faq,Can you check my car before a road trip?,"Yes, we can perform a pre‑trip inspection to check important items like brakes, fluids, tires, suspension, and other systems so you can drive with more confidence."
faq_5,faq,What should I do if my car broke down and needs a tow?,"If your car is not drivable, the safest option is to have it towed to our shop at 221 W Canino Rd, Houston, TX 77037. Once it arrives, we can diagnose the issue and contact you with what we find and the next steps."
faq_6,faq,Can you help if my steering wheel vibrates or my tires are wearing unevenly?,"Yes, those symptoms often point to alignment, suspension, or tire issues. We can inspect your vehicle, correct the alignment, and check suspension components to help fix the problem and extend tire life."
